"INTERGOVERNMENTAL PANEL ON CLIMATE CHANGE
"	Title
"INTERGOVERNMENTAL PANEL ON CLIMATE Cc
"	Title
"IPCC Second Assessmen
Climate Change

  

A REPOR
"	Figure
"INTERGOVERNMENTAL PANEL ON CLIMATE CHANGE
"	Title
"INTERGOVERNMENTAL PANEL ON CLIMATE CHANGE
"	Title
"IPCC Second Assessment
Climate Change 1995
"	Title
". Therearestill many uncertainties 2.0... ete ttt

UMMARY FOR POLICYMAKERS: SCIENTIFIC-TECHNICAL ANALYSES OF IMPACTS, ADAPTATIONS

 
 
   
 

ND MITIGATION OF CLIMATE CHANGE — IPCC WORKING GROUPI] oo... eens
Scope of the assesSMeNt nnn teen enn ete t nee ee
Nature of the issue one een enn e ened teens
Vulnerability to climate change 11.2... nnn nnn e ete n nts
3.1 Terrestrial and aquatic ecosySteMS 6. enn eet t eens
3.2. Hydrology and water resources management 0.0... .. eee t nents
3.3 Food and fibre 0... nen nent eben nee ete ene
3.4 Human infrastructure on nee ent een n deen eee nee
3.5 Human health oo. 0... eee n een nent eens
Options to reduce emissions and enhance sinks of greenhouse gaseS «1... eee eee
4.1 Energy, industrial process and human settlement emissionS ........ 0.00. e cece eee eee

4.1.1 Energydemand ........ cece tenet ett eee eens
4.1.2 Mitigating industrial process and human settlement emissions .......... 0... 0. cece eee eee
4.1.3 Energy supply ....... teen nnn teens
4.1.4 Integration of energy system mitigation options ........... ee eee eee
4.2 Agriculture, rangelandsand forestry ........ eet tte eens
4.3 Cross-sectoral iSSUCS 2. eee ene e een n eens

 

44 PolicyinstrumentS 2.0.0... cece nett nent eee e enna
"	Table
"10.
11.

Generic assessment of response strategieS enn ett t tenes
Costs of response OptioNS 6... nn ete e nent ttt t nents
Integrated assessMeNnt 2. nee nnn nent e ett e nee
An economic assessment of policy instruments to combat climate change

     
"	List
"We take this opportunity to express our gratitude to the following
individuals for nurturing another IPCC report through to a success-
ful completion:
"	Text
"The Intergovernmental Panel on Climate Change (IPCC) was jointly
established by the World Meteorological Organization and the United
Nations Environment Programme in 1988, in order to: (i) assess avail-
able scientific information on climate change, (ii) assess the
environmental and socio-economic impacts of climate change, and
(iii) formulate response strategies. The IPCC First Assessment Report
was completed in August 1990 and served as the basis for negotiating
the UN Framework Convention on Climate Change. The IPCC also
completed its 1992 Supplement and Climate Change 1994: Radiative
Forcing of Climate Change and An Evaluation of the IPCC 1S92 Emission
Scenarios to assist the Convention process further.
"	Text
"In 1992, the Panel reorganized its Working Groups II and III to
assess, respectively, the impacts and response options, and the
social and economic aspects of climate change. It committed itself
to completing its Second Assessment in 1995, not only updating the
information on the same range of topics as in the First Assessment,
but also including the new subject area of technical issues related to
the socio-economic aspects of climate change. We applaud the IPCC
for producing its Second Assessment Report (SAR) as scheduled. We
are convinced that the SAR, as the earlier IPCC reports, would
become a standard work of reference, widely used by policymakers,
scientists and other experts.
"	Text
"As usual in the IPCC, successin producing this report has depended
upon the enthusiasm and cooperation of numerous busy scientists
and other experts worldwide. We are exceedingly pleased to note
here the very special efforts made by the IPCC in ensuring the
participation of scientists and other experts from the developing
and transitional economy countries in its activities, in particular in
the writing, reviewing and revising of its reports. The scientists and
experts from the developed, developing and transitional economy
countries have given of their time very generously, and govern-
ments have supported them, in the enormous intellectual and
physical effort required, often going substantially beyond reason-
able demands of duty. Without such conscientious and professional
involvement, the IPCC would be greatly impoverished. We express
to all these scientists and experts, and the governments who
supported them, our sincere appreciation for their commitment.
"	Text
