"Jan Petzold
"	Title
"Science Officer
"	Text
"Science Officer
"	Text
"Edited by
"	Title
"Director of Science
"	Text
"Head of WGII TSU
"	Text
"Andrew Okem
"	Title
"Nora M. Weyer
"	Title
"Andrés Alegria
"	Title
"Debra C. Roberts
"	Title
"Director of Operations
"	Text
"Katja Mintenbeck
"	Title
"Working Group II Co-Chair
"	Text
"Working Group | Co-Chair
"	Text
"Working Group | Co-Chair
"	Text
"Valérie Masson-Delmotte
"	Title
"Working Group II Technical Support Unit
"	Title
"A Special Report of the Intergovernmental Panel on Climate Change
"	Title
"The Ocean and Cryosphere
in a Changing Climate
"	Title
"This report should be cited as:

ner AARAR INES F.

 
"	Title
"FEMS POPUL SHOU Me Ciel do.

IPCC, 2019: /PCC Special Report on the Ocean and Cryosphere in a Changing Climate [H.-O. Portner,
D.C. Roberts, V. Masson-Delmotte, P. Zhai, M. Tignor, E. Poloczanska, K. Mintenbeck, A. Alegria,
M. Nicolai, A. Okem, J. Petzold, B. Rama, N.M. Weyer (eds.)]. In press.
"	Text
"The designations employed and the presentation of material on maps do not imply the expression of
any opinion whatsoever on the part of the Intergovernmental Panel on Climate Change concerning
the legal status of any country, territory, city or area or of its authorities, or concerning the delimitation
of its frontiers or boundaries.
"	Text
"Special Reports, Technical Papers and Methodological Reports
and other products that have become the gold standard scientific
resource on climate change issues for policymakers.
"	Text
"The IPCC provides policymakers with regular scientific assessments
on climate change, its impacts and risks, as well as adaptation and
mitigation options. Since it was established jointly in 1988 by theWorld
Meteorological Organisation and the United Nations Environment
Programme, the IPCC has produced a series of Assessment Reports,
"	Text
"We especially wish to thank the IPCC Chair, Hoesung Lee, the IPCC Vice-
Chairs Ko Barrett, Thelma Krug, and Youba Sokona for their guidance,
and the Co-Chairs of Working Groups II and | Hans-Otto Portner,
Debra Roberts, Valérie Masson-Delmotte and Panmao Zhai for their
inspired leadership throughout the process.
"	Text
"SROCC was made possible thanks to the commitment and dedication
of hundreds of experts worldwide, representing a wide range of
disciplines. We express our deep gratitude to all Coordinating Lead
Authors, Lead Authors, Contributing Authors, Review Editors, Chapter
Scientists and Expert and Government Reviewers who devoted
their time and effort to make the Special Report on the Ocean and
Cryosphere in a Changing Change possible. We would like to thank
the staff of the Working Group Technical Support Units and the
IPCC Secretariat for their dedication and professionalism.
"	Text
"This /PCC Special Report on the Ocean and Cryosphere in a Changing
Climate (SROCC), is the third Special Report to be produced in
the Intergovernmental Panel on Climate Change’s (IPCC) Sixth
Assessment Report (AR6) cycle. SROCC is unique because — for the
first time — the IPCC has produced an in-depth report examining
the farthest corners of the Earth — from the highest mountains
and remote polar regions to the deepest oceans. The report finds
that even and especially in these places, human-caused climate
change is evident. These changes show that the world’s ocean
and cryosphere have been ‘taking the heat’ for climate change for
decades. The consequences for nature and humanity are sweeping
and severe. This report highlights the urgency of timely, ambitious,
coordinated, and enduring action.
"	Text
