"Based on a draft prepared by:
"	Title
"CLIMATE CHANGE 2001: MITIGATION
"	Title
"SUMMARY FOR POLICYMAKERS
"	Title
"A Report of Working Group HI
of the Intergovernmental Panel on Climate Change
"	Title
"This summary, approved in detail at the Sixth Session of IPCC Working Group LII (Accra, Ghana «
28 February - 3 March 2001), represents the formally agreed statement of the IPCC concerning
climate change mitigation.
"	Text
"NN EE EE IE OE OE

Tariq Banuri, Terry Barker, Igor Bashmakov, Kornelis Blok, Daniel Bouille, Renate Christ, Ogunlade Davidson, Jae
Edmonds, Ken Gregory, Michael Grubb, Kirsten Halsnaes, Tom Heller, Jean-Charles Hourcade, Catrinus Jepma, Pekka
Kauppi, Anil Markandya, Bert Metz, William Moomaw, Jose Roberto Moreira, Tsuneyuki Morita, Nebojsa Nakicenovic,
Lynn Price, Richard Richels, John Robinson, Hans Holger Rogner, Jayant Sathaye, Roger Sedjo, Priyaradshi Shukla,
Leena Srivastava, Rob Swart, Ferenc Toth, John Weyant
"	Text
"Gaps in Knowledge
"	Text
"CONTENTS
"	Title
"The Costs and Ancillary Benefits of Mitigation Actions
"	Text
"Options to Limit or Reduce Greenhouse Gas Emissions and Enhance Sinks

  
"	Text
"Introduction
"	Title
"The Nature of the Mitigation Challenge
"	Title
"' Mitigation is defined here as an anthropogenic intervention to
reduce the sources of greenhouse gases or enhance their sinks.
"	Text
"3. Alternative development paths* can result in very different
greenhouse gas emissions. The SRES and the mitigation sce-
narios assessed in this report suggest that the type, magnitude,
"	Text
"5 Approaches to equity have been classified into a variety of cate-
gories, including those based on allocation, outcome, process, rights,
liability, poverty, and opportunity, reflecting the diverse expectations
of fairness used to judge policy processes and the corresponding out-
comes (Sections 1.3, 10.2).
"	Text
"6 Emissions from all regions diverge from baselines at some point.

Global emissions diverge earlier and to a greater extent as stabiliza-
tion levels are lower or underlying scenarios are higher. Such scenar-
ios are uncertain, do not provide information on equity implications
and how such changes may be achieved or who may bear any costs
incurred.
"	Text
"2 Climate change in IPCC usage refers to any change in climate over
time, whether due to natural variability or as a result of human activ-
ity. This usage differs from that in the UNFCCC, where climate
change refers to a change of climate that is attributed directly or indi-
rectly to human activity that alters the composition of the global
atmosphere and that is in addition to natural climate variability
observed over comparable time periods.
"	Text
"* In this report “alternative development paths” refer to a variety of
possible scenarios for societal values and consumption and produc-
tion patterns in all countries, including but not limited to a continua-
tion of today’s trends. These paths do not include additional climate
initiatives which means that no scenarios are included that explicitly
assume implementation of the UNFCCC or the emission targets of the
Kyoto Protocol, but do include assumptions about other policies that
influence greenhouse gas emissions indirectly.
"	Text
"timing and costs of mitigation depend on different national cir-
cumstances and socio-economic, and technological develop-
ment paths and the desired level of greenhouse gas concentra-
tion stabilization in the atmosphere (see Figure SPM. for an
example for total CO, emissions). Development paths leading
to low emissions depend on a wide range of policy choices and
require major policy changes in areas other than climate
change (Sections 2.2.2, 2.3.2, 2.4.4, 2.5).
"	Text
"2. Climate change? is a problem with unique characteristics. It
is global, long-term (up to several centuries), and involves
complex interactions between climatic, environmental, eco-
nomic, political, institutional, social and technological process-
es. This may have significant international and intergenera-
tional implications in the context of broader societal goals such
as equity and sustainable development. Developing a response
to climate change is characterized by decision-making under
uncertainty and risk, including the possibility of non-linear
and/or irreversible changes (Sections 1.2.5, 1.3, 10.1.2, 10.1.4,
10.4.5).3
"	Text
"1. This report assesses the scientific, technical, environmental,
economic and social aspects of the mitigation of climate
change. Research in climate change mitigation! has continued
since the publication of the IPCC Second Assessment Report
(SAR), taking into account political changes such as the agree-
ment on the Kyoto Protocol to the United Nations Framework
Convention on Climate Change (UNFCCC) in 1997, and is
reported on here. The Report also draws on a number of IPCC
Special Reports, notably the Special Report on Aviation and
the Global Atmosphere, the Special Report on Methodological
and Technological Issues in Technology Transfer (SRTT), the
Special Report on Emissions Scenarios (SRES), and the
Special Report on Land Use, Land Use Change and Forestry
(SRLULUCF).
"	Text
"4. Climate change mitigation will both be affected by, and have
impacts on, broader socio-economic policies and trends, such
as those relating to development, sustainability and equity.
Climate mitigation policies may promote sustainable develop-
ment when they are consistent with such broader societal
objectives. Some mitigation actions may yield extensive bene-
fits in areas outside of climate change: for example, they may
reduce health problems; increase employment; reduce negative
environmental impacts (like air pollution); protect and enhance
forests, soils and watersheds; reduce those subsidies and taxes
which enhance greenhouse gas emissions; and induce techno-
logical change and diffusion, contributing to wider goals of
sustainable development. Similarly, development paths that
meet sustainable development objectives may result in lower
levels of greenhouse gas emissions (Sections 1.3, 1.4, 2.2.3,
2.4.4, 2.5, 7.2.2, 8.2.4).
"	Text
