"Y. Ding is Co-Chair of Working Group I, IPCC.
"	Text
"X. Dai is a Visiting Scientist, Technical Support Unit, Working Group I, IPCC.
"	Text
"D.J. Griggs is the Head of the Technical Support Unit, Working Group I, IPCC.
"	Text
"C.A. Johnson is a Climate Scientist, Technical Support Unit, Working Group I, IPCC.
"	Text
"K. Maskell is a Climate Scientist, Technical Support Unit, Working Group I, IPCC.
"	Text
"M. Noguer is the Deputy Head of the Technical Support Unit, Working Group I, IPCC.
"	Text
"P.J. van der Linden is the Project Administrator, Technical Support Unit, Working Group I, IPCC.
"	Text
"CLIMATE CHANGE 2001:
THE SCIENTIFIC BASIS
"	Title
"Climate Change 2001: The Scientific Basis is the most comprehensive and up-to-date scientific assessment of past, present and
future climate change. The report:
"	Text
"Simply put, this latest assessment of the IPCC will again form the standard scientific reference for all those concerned with climate
change and its consequences, including students and researchers in environmental science, meteorology, climatology, biology,
ecology and atmospheric chemistry, and policymakers in governments and industry worldwide.
"	Text
"Analyses an enormous body of observations of all parts of the climate system.

Catalogues increasing concentrations of atmospheric greenhouse gases.

Assesses our understanding of the processes and feedbacks which govern the climate system.

Projects scenarios of future climate change using a wide range of models of future emissions of greenhouse gases and aerosols.
Makes a detailed study of whether a human influence on climate can be identified.

Suggests gaps in information and understanding that remain in our knowledge of climate change and how these might be
addressed.
"	List
"J.T. Houghton
"	Title
"Published for the Intergovernmental Panel on Climate Change
"	Text
"Contribution of Working Group I to the Third Assessment Report
"	Title
"Climate Change 2001:

The Scientific Basis
"	Title
"Reference to the whole report is:

mam Ann. 7 ae my

   
"	Title
"© Intergovernmental Panel on Climate Change 2001
"	List
"Library of Congress cataloguing in publication data available
"	Text
"AKeterence to tie Whole report 1s:

IPCC, 2001: Climate Change 2001: The Scientific Basis. Contribution of Working Group I to the Third Assessment Report of the
Intergovernmental Panel on Climate Change [Houghton, J.T., Y. Ding, D.J. Griggs, M. Noguer, P.J. van der Linden, X. Dai, K.
Maskell, and C.A. Johnson (eds.)]. Cambridge University Press, Cambridge, United Kingdom and New York, NY, USA, 881pp.
"	Text
"When citing chapters or the Technical Summary from this report, please use the authors in the order given on the chapter frontpage,
for example, Chapter 2 is referenced as:

Folland, C.K., T.R. Karl, J.R. Christy, R.A. Clarke, G.V. Gruza, J. Jouzel, M.E. Mann, J. Oerlemans, M.J. Salinger and S.-W. Wang,
2001: Observed Climate Variability and Change. In: Climate Change 2001: The Scientific Basis. Contribution of Working Group I to
the Third Assessment Report of the Intergovernmental Panel on Climate Change (Houghton, J.T., Y. Ding, D.J. Griggs, M. Noguer,
PJ. van der Linden, X. Dai, K. Maskell, and C.A. Johnson (eds.)]. Cambridge University Press, Cambridge, United Kingdom and
New York, NY, USA, 88 1pp.
"	Text
"PLLA

Summary for Policymakers

Technical Summary

1

oWmWmnN DN FW WY

Ww Nn FF O&O

14

The Climate System: an Overview

Observed Climate Variability and Change

The Carbon Cycle and Atmospheric Carbon Dioxide
Atmospheric Chemistry and Greenhouse Gases
Aerosols, their Direct and Indirect Effects

Radiative Forcing of Climate Change

Physical Climate Processes and Feedbacks

Model Evaluation

Projections of Future Climate Change

Regional Climate Information — Evaluation and Projections
Changes in Sea Level

Detection of Climate Change and Attribution of Causes
Climate Scenario Development

Advancing Our Understanding

Appendix I Glossary

Appendix II SRES Tables

Appendix III Contributors to the IPCC WGI Third Assessmen
Appendix IV Reviewers of the IPCC WGI Third Assessment |]
Appendix V = Acronyms and Abbreviations

Appendix VI Units

Appendix VII Some Chemical Symbols used in this Report
Appendix VIII Index
"	List
"We would particularly like to thank Dr Robert Watson,
Chairman of the IPCC, for his sound direction and tireless and
able guidance of the IPCC, and Sir John Houghton and Prof.
Ding Yihui, the Co-Chairmen of Working Group I, for their
skillful leadership of Working Group I through the production
of this report.
"	Text
"This volume, which forms part of the Third Assessment Report
(TAR), has been produced by Working Group I (WGI) of the
IPCC and focuses on the science of climate change. It consists
of 14 chapters covering the physical climate system, the factors
that drive climate change, analyses of past climate and
projections of future climate change, and detection and attribu-
tion of human influences on recent climate.
"	Text
"The Intergovernmental Panel on Climate Change (IPCC) was
jointly established by the World Meteorological Organization
(WMO) and the United Nations Environment Programme
(UNEP) in 1988. Its terms of reference include (i) to assess
available scientific and socio-economic information on climate
change and its impacts and on the options for mitigating climate
change and adapting to it and (ii) to provide, on request,
scientific/technical/socio-economic advice to the Conference of
the Parties (COP) to the United Nations Framework Convention
on Climate Change (UNFCCC). From 1990, the IPCC has
produced a series of Assessment Reports, Special Reports,
Technical Papers, methodologies and other products that have
become standard works of reference, widely used by policy-
makers, scientists and other experts.
"	Text
"As is usual in the IPCC, success in producing this report has
depended first and foremost on the knowledge, enthusiasm and
co-operation of many hundreds of experts worldwide, in many
related but different disciplines. We would like to express our
gratitude to all the Co-ordinating Lead Authors, Lead Authors,
Contributing Authors, Review Editors and Reviewers. These
individuals have devoted enormous time and effort to produce this
report and we are extremely grateful for their commitment to the
IPCC process. We would like to thank the staff of the WGI
Technical Support Unit and the IPCC Secretariat for their dedica-
tion in co-ordinating the production of another successful IPCC
report. We are also grateful to the governments, who have
supported their scientists’ participation in the IPCC process and
who have contributed to the IPCC Trust Fund to provide for the
essential participation of experts from developing countries and
countries with economies in transition. We would like to express
our appreciation to the governments of France, Tanzania, New
Zealand and Canada who hosted drafting sessions in their
countries, to the government of China, who hosted the final session
of Working Group | in Shanghai, and to the government of the
United Kingdom, who funded the WGI Technical Support Unit.
"	Text
