"he Intergovernmental Panel on Climate Change (IPCC) was set up jointly by the World Meteorological Organization and the

United Nations Environment Programme to provide an authoritative international statement of scientific understanding of
climate change. The IPCC’s periodic assessments of the causes, impacts and possible response strategies to climate change are
the most comprehensive and up-to-date reports available on the subject, and form the standard reference for all concerned with
climate change in academia, government and industry worldwide. This Synthesis Report is the fourth element of the IPCC Fourth
Assessment Report “Climate Change 2007”. Through three working groups, many hundreds of international experts assess
climate change in this Report. The three working group contributions are available from Cambridge University Press:
"	Text
"CLIMATE CHANGE 2007
SYNTHESIS REPORT

 

Zs Tepes
(2) A Report of the Intergovernmental Panel on Climate Change MLE
WMO UNEP

 
"	Figure
"IN AABBEN AR WIMP PE ABER ANI BAAN WS BASAL OED AA

Andy Reisinger, Richard Nottage, Prima Madan
"	Text
"Technical Support Unit for the Synthesis Report:

And; Daicinaar Dirhard NoaAttaga Deima AAaAon
"	Title
"Published by the Intergovernmental Panel on Climate Change
"	Title
"IPCC, 2007: Climate Change 2007: Synthesis Report. Contribution of Working Groups |, II and Ill to the Fourth Assess-
ment Report of the Intergovernmental Panel on Climate Change [Core Writing Team, Pachauri, R.K and Reisinger, A.
(eds.)]. IPCC, Geneva, Switzerland, 104 pp.
"	Text
"Climate Change 2007
Synthesis Report
"	Title
"IA OO EIIIE
Lenny Bernstein, Peter Bosch, Osvaldo Canziani, Zhenlin Chen, Renate Christ, Ogunlade Davidson,
William Hare, Saleemul Huq, David Karoly, Vladimir Kattsov, Zbigniew Kundzewicz, Jian Liu, Ulrike
Lohmann, Martin Manning, Taroh Matsuno, Bettina Menne, Bert Metz, Monirul Mirza, Neville Nicholls,
Leonard Nurse, Rajendra Pachauri, Jean Palutikof, Martin Parry, Dahe Qin, Nijavalli Ravindranath,
Andy Reisinger, Jiawen Ren, Keywan Riahi, Cynthia Rosenzweig, Matilde Rusticucci, Stephen Sch-
neider, Youba Sokona, Susan Solomon, Peter Stott, Ronald Stouffer, Taishi Sugiyama, Rob Swart,
Dennis Tirpak, Coleen Vogel, Gary Yohe
"	Text
"Layout and Graphics Design Support: TERI Press
"	Text
"Typeface Times New Roman 9.5/11.5. System Adobe PageMaker 6.5
"	Text
"© The Nobel Foundation. Nobel Prize® and the Nobel Prize® medal design are registered trademarks of the Nobel Foundation
"	Text
"The Intergovernmental Panel on Climate Change was joint recipient of the 2007
Nobel Peace Prize
"	Title
"The mention of specific companies or products does not imply that they are endorsed or recommended by IPCC in prefer-
ence to others of a similar nature which are not mentioned or advertised.
"	Text
"The presentation of material and designations employed in this publication do not imply the expression of any opinion
whatsoever on the part of the IPCC concerning the legal status of any country, territory, city or area or of its authorities, or
concerning the delimitation of its frontiers or boundaries.
"	Text
"The right of publication in print, electronic and any other form and in any language is reserved by the IPCC. Short extracts
from this publication may be reproduced without authorization provided that complete source is clearly indicated. Edito-
rial correspondence and requests to publish, reproduce or translate articles in part or in whole should be addressed to:
"	Text
"The AR4 is a remarkable achievement involving more than
500 Lead Authors and 2000 Expert Reviewers, building on
the work of a wide scientific community and submitted to the
scrutiny of delegates from more than one hundred participat-
ing nations. It is the result of the enthusiasm, dedication, and
"	Text
"We would also like at this occasion to express deep recogni-
tion and sorrow in remembrance of Prof. Bert Bolin, who led
the way twenty years ago as first Chairman of IPCC, and who
sadly passed away on 30 December 2007 after a brilliant ca-
reer in meteorology and climate science.
"	Text
"Finally, we would like to thank the Chairman of the IPCC,
Dr Rajendra K. Pachauri, for leading tirelessly and with dedi-
cation the effort of all. This is particularly appropriate at this
time as the IPCC as a whole, under his guidance, has been
awarded the 2007 Nobel Peace Price.
"	Text
