"-RGOVERNMENTAL PANEL ON CLIMATE CHANGE

UNEP

     
 

IPCC SPECIAL R
AVIATION AN
GLOBAL ATMOS
"	Figure
"University of Michigan

 
"	Text
"Joyce E. Penner
"	Text
" 

DuPont Fluoroproducts
"	Text
"EEE EE OES

UK Meteorological Office
"	Text
"   

University Corporation
for Atmospheric Research
"	Text
"A Special Report of IPCC Working Groups I and III
"	Title
"Summary for Policymakers
"	Title
"INTERGOVERNMENTAL PANEL ON CLIMATE CHANGE
"	Title
"Scientific Assessment Panel to the Montreal Protocol
on Substances that Deplete the Ozone Layer
"	Title
"As is usual in the IPCC, success in producing this report has
depended first and foremost on the enthusiasm and cooperation
of experts worldwide in many related but different disciplines.
"	Text
"Executive Director

United Nations Environment Programme
and

Director-General

United Nations Office in Nairobi
"	List
"We would like to express our gratitude to all the Coordinating
Lead Authors, Lead Authors, Contributing Authors, Review
Editors, and Expert Reviewers. These individuals have devoted
enormous time and effort to produce this report and we are
extremely grateful for their commitment to the IPCC process.
"	Text
"The Intergovernmental Panel on Climate Change (IPCC) was
jointly established by the World Meteorological Organization
(WMO) and the United Nations Environment Programme
(UNEP) in 1988 to: (i) assess available information on the
science, the impacts, and the economics of, and the options for
mitigating and/or adapting to, climate change and (ii) provide,
on request, scientific/technical/socio-economic advice to the
Conference of the Parties (COP) to the United Nations
Framework Convention on Climate Change (UNFCCC). Since
then the IPCC has produced a series of Assessment Reports,
Special Reports, Technical Papers, methodologies, and other
products that have become standard works of reference, widely
used by policymakers, scientists, and other experts.
"	Text
"This Special Report was prepared following a request from
the International Civil Aviation Organization (ICAO) and the
Parties to the Montreal Protocol on Substances that Deplete the
Ozone Layer. The state of understanding of the relevant science
of the atmosphere, aviation technology, and socio-economic
issues associated with mitigation options is assessed and reported
for both subsonic and supersonic fleets. The potential effects
that aviation has had in the past and may have in the future on
both stratospheric ozone depletion and global climate change
are covered; environmental impacts of aviation at the local
scale, however, are not addressed. The report synthesizes the
findings to identify and characterize options for mitigating
future impacts.
"	Text
"Robert Watson, the Chairman of the IPCC and Co-Chair
of the Scientific Assessment Panel to the Montreal
Protocol

John Houghton, Ding Yihui, Bert Metz, and Ogunlade
Davidson—the Co-Chairs of IPCC Working Groups I
and III

Daniel Albritton, Co-Chair of the Scientific Assessment
Panel to the Montreal Protocol

David Lister and Joyce Penner, the Coordinators of this
Special Report

Daniel Albritton, John Crayston, Ogunlade Davidson,
David Griggs, Neil Harris, John Houghton, Mack
McFarland, Bert Metz, Nelson Sabogal, N. Sundararaman,
Robert Watson, and Howard Wesoky—the Science
Steering Committee for this Special Report

David Griggs, David Dokken, and all the staff of the
Working Group I and IL Technical Support Units,
including Mack McFarland, Richard Moss, Anne Murrill,
Sandy MacCracken, Maria Noguer, Laura Van Wie
McGrory, Neil Leary, Paul van der Linden, and Flo
Ormond, and Neil Harris who provided additional help
N. Sundararaman, the Secretary of the IPCC, and his staff,
Rudie Bourgeois, Cecilia Tanikie, and Chantal Ettori.
"	List
"In particular, we are grateful to John Crayston (ICAO), Steve
Pollonais (Government of Trinidad and Tobago), Leonie Dobbie
(IATA), and Max Campos (government of Costa Rica) for their
taking on the demanding burden of arranging for these meetings.
"	Text
"The objective of this Special Report is to provide accurate,
unbiased, policy-relevant information to serve the aviation
industry and the expert and policymaking communities. The
report, in describing the current state of knowledge, also
identifies areas where our understanding is inadequate and
where further work is urgently required. It does not make
policy recommendations or suggest policy preferences, thus is
consistent with IPCC practice.
"	Text
"We wish to express our sincere appreciation to the Report
Coordinators, David Lister and Joyce Penner; to all the
Coordinating Lead Authors, Lead Authors, and Review Editors
whose expertise, diligence, and patience have underpinned
the successful completion of this report; and to the many
contributors and reviewers for their valuable and painstaking
dedication and work. We thank the Steering Committee for
their wise counsel and guidance throughout the preparation of
the report. We are grateful to:
"	Text
"We also thank Anne Murrill of the Working Group I Technical
Support Unit and Sandy MacCracken of the Working Group IIL
Technical Support Unit for their tireless and good humored
support throughout the preparation of the report. Other members
of the Technical Support Units of Working Groups I and II also
provided much assistance, including Richard Moss, Mack
McFarland, Maria Noguer, Laura Van Wie McGrory, Neil
Leary, Paul van der Linden, and Flo Ormond. The staff of the
IPCC Secretariat, Rudie Bourgeois, Cecilia Tanikie, and
"	Text
"This report was compiled by 107 Lead Authors from 18 coun-
tries. Successive drafts of the report were circulated for review
by experts, followed by review of governments and experts.
Over 100 Contributing Authors submitted draft text and infor-
mation to the Lead Authors and over 150 reviewers submitted
valuable suggestions for improvement during the review
process. All the comments received were carefully analysed
and assimilated into a revised document for consideration at
the joint session of IPCC Working Groups I and III held in San
José, Costa Rica, 12-14 April 1999. There, the Summary for
Policymakers was approved in detail and the underlying report
accepted.
"	Text
