"The IPCC Response Strategies
"	Title
"INTERGOVERNMENTAL PANEL
ON CLIMATE CHANGE
"	Title
" 

CLIMATE
CHANGE

The IPCC Response Strategies

  

 
"	Figure
"Note to the Reader
"	Title
"The report of the Response Strategies Working Group (RSWG) was compiled
through an unprecedented international cooperative effort to deal with the many
climate change response strategies. The chairs of the four RSWG subgroups and the
coordinators of the five RSWG topic areas took the responsibility for completing
their individual reports. Along with their respective governments, they contributed
generously of their time and resources to that end.

+:
"	Text
"ee NN IIMA EN ONANADR NED RRA MARR NBA

It was not possible or intended to review cach subgroup report and topic paper in
plenary session, The RSWG report thus constitutes a series of independently
prepared underlying documents which attempt to analyze as thoroughly as possible
the issues addressed in each subgroup or topic areca. The synthesis of the concepts
from these underlying reports is the RSWG Policymakers Summary, on which
consensus was reached at the RSWG’s Third Plenary Session in Geneva on June 9,
1990.
"	Text
"Se ee eee een NN OI III OI INS

We take this opportunity to congratulate and thank Dr. Bernthal for a job well done.
"	Text
"EARN END AAR ANE NEE ENE

The Panel has completed its First Assessment Report (FAR). The FAR consists of
"	Text
"The Panel began its task by establishing its Working Goups I, IJ, and III respec-
tively to:
"	Text
"The Intergovernmental Panel on Climate Change (IPCC) was jointly established by us
in 1988, Prof. B. Bolin is the Chairman of the Panel. The Panel’s charge was to:
"	Title
"a) assess available scientific information on climate change;
b) assess the environmental and socio-economic impacts of climate change; and
c) formulate response strategies.
"	List
"eee IEE II IIE IIE III IRIE IIIS TSN EIS BR RE IEEE IIIS IDES

* the Overview;
+ the policymakers summaries of the IPCC Working Groups and the Special Com-

mittee;
* the reports of the IPCC Working Groups,
"	List
"a) assess the scientific information that is related to the various components of the
climate change issue, such as emissions of major greenhouse gases and modification
of the Earth’s radiation balance resulting therefrom, and that is needed to enable
the environmental and socio-economic consequences of climate change to be
evaluated; and

b) formulate realistic response strategies for the management of the climate change
issue.

wrto«é!, ad . +4 tte. 0 ewer a eS ee . oer
"	List
"—FREDERICK M. BERNTHAI.
"	Text
"Acknowledgments
"	Title
"The work of the Response Strategies Working Group was organized and coordi-
nated by a network of officers from all over the world. I take this opportunity to
thank the RSWG Vice-Chairs for their dedication in ensuring that Working Group
UI was able to fulfill the mission assigned to it. Special credit should go to the co-
chairs of the four RSWG subgroups and the coordinators of Task A (emissions
scenarios) and Task B (implementation measures), who guided the efforts of the
hundreds of experts in scores of countries around the world who contributed to the
preparation of the specific sections of this report.

+719 ~| : 1: oe hd mR r
"	Text
"preparation OF Me Specilic secuions OF MUS PEPOTt,

In addition, I would like to express my gratitude to the staff of the Office of
Global Change in the U.S. Department of State, (Daniel Reifsnyder, Frances Li,
Stephanie Kinney, Robert Ford, and Granville Sewell), for their support as Secre-
tariat to the RSWG. Special thanks are due the staff of the U.S. National Science
Foundation who, under the supervision of Dr. Li and Dr. Beverly Fleisher,
oversaw the publication of this entire compendium. Finally, the Response Strate-
gies Working Group owes an enormous debt of gratitude to IPCC Chairman, Prof.
Bert Bolin, for his guidance and counsel, and to the IPCC Secretariat, Dr. N.
Sundararaman and his staff.

wee eee
"	Text
"List of Acronyms and Chemical Symbols
"	Text
"1 Introduction
2 Emissions Scenarios
"	List
"POLICYMAKERS SUMMARY
OF THE RESPONSE STRATEGIES
WORKING GROUP OF THE
INTERGOVERNMENTAL PANEL
ON CLIMATE CHANGE
(WORKING GRouP III)
"	Title
"ANNEX I LEGAL AND INSTITUTIONAL MECHANISMS
"	Text
"Contents
Policymakers Summary
Formulation of Response Strategies
"	Title
