"Production Editor: J.A. Lakeman
"	Text
"Published for the Intergovernmental Panel on Climate Change
"	Title
"The Science of Climate Change
"	Title
"Contribution of WGI to the Second Assessment Report
of the Intergovernmental Panel on Climate Change
"	Title
"Edited by J.T. Houghton,
L.G. Meira Filho, B.A. Callander, N. Harris,
A. Kattenberg and K. Maskell
"	Title
"Printed in Great Britain at the University Press, Cambridge
"	Text
"Library of Congress cataloguing in publication data available
"	Text
"ISBN 0 521 56433 6 hardback
ISBN 0 521 56436 0 paperback
"	Text
"A catalogue record for this book is available from the British Library
"	Text
"Appendix 7 Some Chemical Symbols
"	Text
" 

 

The Climate System: an Overview

Radiative Forcing of Climate Change

Observed Climate Variability and Change

Climate Processes

Climate Models — Evaluation

Climate Models — Projections of Future Climate

Changes in Sea Level

Detection of Climate Change and Attribution of Causes

Terrestrial Biotic Responses to Environmental Change and Feedba
Marine Biotic Responses to Environmental Change and Feedbacks

Advancing our Understanding
"	List
" 

United Nations Environment Programme
"	Text
"We take this opportunity to express our gratitude to the
following individuals for nurturing another IPCC report
through to a successful completion:

~ hue Tt da meg oe eee we
"	Text
"anne eee ae eee eee ne

As usual in the IPCC, success in producing this report
has depended upon the enthusiasm and co-operation of
numerous busy scientists and other experts world-wide.
We are exceedingly pleased to note here the very special
efforts made by the IPCC in ensuring the participation of
scientists and other experts in its activities, in particular in
"	Text
"III I ON NN IND IIE NOAA TE ON ENEE RY

Prof. Bolin, the Chairman of the IPCC, for his able
leadership and skilful guidance of the IPCC; the Co-
Chairmen of Working Group I, Sir John Houghton (United
Kingdom) and Dr. L.G. Meira Filho (Brazil); the Vice-
Chairmen of the Working Group, Prof. Ding Yihui
(China), Mr. A.B. Diop (Senegal) and Prof, D. Ehhalt
(Germany);

WoW A Na. eh TT Pm alt laa
"	Text
"and Oler exper»ts.

This volume, which forms part of the SAR, has been
produced by Working Group I of the IPCC, and focuses on
the science of climate change. It consists of 11 chapters
covering the physical climate system, the factors that drive
climate change, analyses of past climate and projections of
future climate change, and detection and attribution of
human influence on recent climate.
"	Text
"Dr. B.A. Callander, the Head of the Technical Support
Unit of the Working Group and his staff, Ms. K. Maskell,
Mrs. J. A. Lakeman and Mrs. F. Mills, with additional
assistance from Dr. N. Harris (European Ozone Research
Co-ordinating Unit, Cambridge), Dr. A. Kattenberg (Royal
Netherlands Meteorological Institute); and Dr. N.
Sundararaman, the Secretary of the IPCC and his staff
including Mr. S. Tewungwa, Mrs. R. Bourgeois, Ms. C.
Ettori and Ms. C. Tanikie.
"	Text
