"CLIMATE CHANGE IMPACTS AND ADAPTATIONS
"	Title
"INTERGOVERNMENTAL PANEL
ON CLIMATE CHANGE
"	Title
"IPCC Technical Guidelines
for Assessing Climate Change
Impacts and Adaptations
"	Title
" 

 

 

 

 
"	Figure
"Further copies can be obtained from:
"	Text
"Printed in the United Kingdom and Japan
This publication is printed on recycled paper.
"	Text
"© University College London and
Center for Global Environmental Research, 1994
"	List
"Designed and illustrated by Words and Publications, Oxford,
United Kingdom.
"	Text
"Department of Geography,
University College London,
26 Bedford Way,

London, WC1H OAP

United Kingdom.
"	Text
"This report has been published by the Department of Geography,
University College London (London, United Kingdom) and the
Center for Global Environmental Research, National Institute for
Environmental Studies (Tsukuba, Japan), with the assistance of
the UK Department of the Environment and the Environment
Agency of Japan.
"	Text
"M. L. Parry
"	Text
"T.R. Carter
"	Text
"WORKING GROUP II OF THE INTERGOVERNMENTAL PANEL ON CLIMATE CHANGE
"	Title
"IPCC Technical Guidelines
for Assessing Climate Change
Impacts and Adaptations
"	Title
"LIST OF REVIEWERS
"	Title
" 

THE IPCC
EXPERT
GROUP ON
GUIDELINES

 
"	Title
"N. Amell, UK

E. B. Barbier, UK

M. Boer, Spain

F. Bultot, Belgium

G. Dedieu, France

T. E. Downing, UK

K. Frohberg, Gennany
R. de Groot, Netherlands
K. Hanaki, Japan

A. Henderson-Sellers, Australia
M, Hulme, UK

N. Mimura, Japan

H. Morisugi, Japan
"	List
" 

PREFACE

When the Intergovemmental Panel on
Climate Change (IPCC) completed its
first Impacts Assessment in 1990 ic
became clear that much more work
was needed if a credible global picture
was to be drawn of the potential effects
of climate change. In particular, the
Assessment revealed how difficult it
was to compare impacts in different
regions and economic sectors that had
been assessed using different methods.
A compatible set of methods was
necded to yield comparable regional
and sectoral impact assessments.

Working Group II of the IPCC there-
fore established an expert group to
develop some guidelines for the assess-
ment of impacts of climate change.
The work of this group resulted in the
publication in 1992 of an initial report
entitled Preliminary Guidelines for
Assessing Impacts of Climate Change
(Carter et al., 1992).

The major objective in producing and
distributing that report was to solicit
comments and suggestions for an
improved set of guidelines that could
be tabled and reviewed as part of the
IPCC Second Assessment. The pre-
sent report is the product of that pro-
cess. It should be considered as a set
of technical guidelines for the scien-
tist, which does not seek to prescribe
a single preferred method but a range
of methods, some of which may be
miore suitable than others to the task
in hand, but which can yield broadly
comparable results. The United
Nations Environment Programme is
currently developing a set of
Workbooks, designed to translate the
technical procedures outlined here
into practical methods of impact and
adaptation assessment at the country
and sectoral level.

The authors acknowledge the help of
the IPCC Expert Group on
Guidelines, the Lead Authors
involved in the IPCC WGII Second
Assessment, the reviewers and the
governments of the United Kingdom
and Japan in the preparation and
printing of this report. Technical sup-
port was provided by 1. Higashi,
M. I. McDonnell and C. J. Parry.

T. R. Carter

Finnish Meteorological Institute

Box 503, FIN-00101, Helsinki
Finland

M. L. Parry

Department of Geography
University College London
26 Bedford Way, London
WC1H OAP

United Kingdom

H. Harasawa and S. Nishioka

Center for Global Environmental
Research

National Institute for Environmental
Studies

162 Onogawa, Tsukuba

Tharaki 305, Japan
"	List
"EXECUTIVE SUMMARY
"	Title
"Al. APPENDIX 1: APPROACHES FOR
DEVELOPING CLIMATIC SCENARIOS
FROM GCM INFORMATION
"	Title
"8.4

9.1

9.2

9.3

8.3.4 Examining the constraints

8.3.5 Quantifying the measures and fonnulating altemative
strategies

8.3.6 Weighting objectives and evaluating trade-offs

8.3.7 Recommending adaptation measures

Points to Consider in Developing an Adaptation
Strategy 38
8.4.1 Institutional requirements

8.4.2 Data requirements

8.4.3 Analytical tools

8.4.4 Cost

8.4.5 Policy exercises

8.4.6 Sensitization seminars

ORGANIZATION OF RESEARCH AND
COMMUNICATION OF RESULTS

The Frarnework in Practice 41
9.1.1 The Seven Step Framework
9.1.2 A four stage method for conducting assessments

Organization of Research 42
9.2.1 Coordination

9.2.2 Collaboration

9.2.3. Communication of results

Communication of Results 43
9.3.1 Communication among rescarchers

9.3.2 Communication with policy makers

9.3.3. Communication with private enterprise

9.3.4 Communication with the public
"	List
"3.3 Study Area

ws 1
"	Title
"2. Approaches
"	Title
"3.1 Goals of the Assessment
"	Title
