"THE SUPPLEMENTARY REPORT TO THE IPCC SCIENTIFIC ASSESSMENT
"	Title
"Published for the
"	Title
"J.T.HOUGHTON, B.A.CALLANDER and S.K.VARNEY
"	Title
"The Supplementary Report to the IPCC Scientific Assessment
"	Title
"ta CAMBRIDGE

‘97 UNIVERSITY PRESS

 

 
"	Title
"Printed in Great Britain at the University Press, Cambridge
"	Text
"Library of Congress cataloguing in publication data available
"	Text
"A catalogue record for this book is available from the British Library
"	Text
"(Meteorological Office, Bracknell, United Kingdom)
"	Text
"Edited by J.T. Houghton, B.A.Callander and S.K. Varney
"	Title
"Report Prepared for IPCC by Working Group |
"	Title
"INTERGOVERNMENTAL PANEL ON CLIMATE CHANGE
"	Title
"CLIMATE CHANGE 1992
The Supplementary Report to the
IPCC Scientific Assessment
"	Title
"Appendix 3 Reviewers of the IPCC WGI Report
"	Text
"Appendix 2 Contributors to the IPCC WGI Report
"	Text
"J. LEGGETT, W.J. PEPPER & R.J. SWART

Climate Modelling, Climate Prediction and Model Validation
W.L. Gates, J.F.B. MITCHELL, G.J. Bogr, U. CuBascu & V.P, MELESHKO

Observed Climate Variability and Change
C.K. FOLLAND, T.R. Kari, N. NICHOLLS, B.S. NYENZI, D.E. PARKER
& K.YA. VINNIKOV
"	List
"Appendix 5 Units
"	Text
"Appendix 6 Chemical Symbols
"	Text
"hundreds of f specialists from all over the world.
"	Text
"The Intergovernmental Panel on Climate Change (IPCC)
was jointly established by our two organizations in 1988,

under the Chairmanship of Professor Bert Bolin. The Panel
formed three Working Groups:
"	Text
"(a)

(b)

(c)

to assess the available scientific information on
climate change,

to assess the environmental and socio-cconomic
impacts of climate change, and

to formulate response strategies,
"	List
"As in 1990, success in producing this Report has
depended upon the enthusiasm and cooperation of
scientists worldwide. We admire, applaud, and are grateful
for their commitment to the IPCC process. We also take
this opportunity to express our gratitude to Professor Bolin
for his very able leadership of the IPCC, and once again
congratulate Sir John Houghton, Chairman of Working
Group I, and his secretariat for another job well done.
"	Text
"Cone eee NESDIS NDEI IDE INAS IDI DLA OSIM INI SIO

The IPCC First Assessment Report was completed in
August 1990 and consists of the IPCC Scientific
Assessment, the IPCC Impacts Assessment, the IPCC
Response Strategies, the Policymakers’ Summary of the
IPCC Special Commitice and the [PCC Overview. The
Report has now become a standard work of reference,
widely used by policymakers, scientists and other experts,
and encompasses a remarkable coordinated cffort by
"	Text
"hundreds of specialists from ali over the world,
Anticipating the need in 1992 for the latest information
on climate change, in the context of the ongoing
negotiations on the Framework Convention on Climate
Change and the United Nations Conference on
Environment and Development (Rio de Janeiro, June
1992), the Panel in 199] requested its three Working
Groups lo produce updates to their 1990 Reports,
addressing the key conclusions of the 1990 Assessment in
the light of new data and analyses. The current publication
is the result of the effort of Working Group I to produce an
update of the IPCC Scientific Assessment.
"	Text
"NN EI

Thanks are also due to all the members of the [PCC
central secretariat at WMO, Geneva, under the direction of
Dr. N. Sundararaman, for their friendly and tireless
"	Text
"ag)

(2)

Organizational details of IPCC and Working Group I are
shown in Appendix L.

Climate Change. The IPCC Scientific Assessment.

J.T. Houghton, G.J. Jenkins and J.J. Ephraums (Eds.),
Cambridge University Press. 1990, pp365.
"	List
"The first Scientific Assessment of Climate Change
prepared by Working Group I (WGI) of the IPCC was
published in June 1990!2), That report was a compre-
hensive statement of the state of scientific knowledge
concerning climate change and mankind’s role therein, and
resulted from almost two years’ work by 170 scientists
worldwide. A further 200 scientists were involved in its
peer review. ‘
"	Text
"380 scientists from 63 countries and 18 UN or non-
governmental organizations participated in the peer
review of both the background material and the
Supplement. The tcxt of the Supplement was agreed in
January 1992 at a plenary meeting of WGI held in
Guangzhou, China, attended by 130 delegates from 47
countries. It can therefore be considered as an authoritative
statement of the contemporary views of the international
scientific community.
"	Text
" 

The conclusions presented in the Supplement are based
entirely on the supporting scientific material published
here, which has been prepared by leading scientists and
exposed to a widespread and thorough peer review. To
assist in the preparation of the report and the background
papers a number of workshops were held, each devoted to
one of the main topics being addressed. Generation of the
background papers involved, either as lead authors or
contributors, 118 scientists from 22 countries, A further
"	Text
"In the eighteen months since then, scientific activity has
continued to focus on the problem of climate change and
significant progress has been made in a number of
important arcas. The purpose of this Supplement is to
update the 1990 report, paying particular attention to its
key conclusions and to new issues which have appeared in
the scientific debate. The Supplement does not cover the
full range of topics addressed by the 1990 report and
should be read in conjunction with, rather than in place of,
that report.

~., _

 
"	Text
" 

ume

 

eo eee GS

We are pleased to acknowledge the contributions of so
many, in particular the Lead Authors who have given so
freely of their expertise and time in the preparation of this
report, together with the data and modelling centres who
have provided so much information. We would also like to
thank the core team at the Meteorological Office in
Bracknell, which was responsible for organizing most of
the workshops and for coordinating the activities of the
very large number of contributing scientists. Members of
the team and those who particularly contributed to its work
were Bruce Callander, Shelagh Varney, Bob Watson, John
Mitchell, Chris Folland, David Parker, Mavis Cook, Mavis
Martin and Flo Ormond. Financial support for the team’s
work was provided by the United Kingdom's Department
of the Environment.

a

     
"	Text
"SE NODS ENING NEES

Chairman, IPCC Working Group 1
"	Text
"Metcorological Office
United Kingdom
"	Text
" 

We are confident that this 1992 Supplement will assist
"	Text
"assistance in workshop organization and coordination with
the other IPCC working groups.

Wye, eee, purses fe Adee that thie 1009 Cherleamant ull acecier
"	Text
"further in building the firm scientific foundation necessary
for the formulation of a rational and comprehensive
response by mankind to the issue of climate change.
"	Text
"Prepared by IPCC Working Group I
"	Title
"The 1992 IPCC Supplement:
Scientific Assessment
"	Title
"AAUTOSPHCTIC OULPHALS ZACTOSO! WLOUCIS

6 How has our Understanding of Changes in Radiative
Forcing Changed?
Radiative Forcing due to Changes in Stratospheric
Ozone
Radiative Forcing due to Changes in Tropospheric
Ozone
Radiative I:ffects of Sulphur Emissions
Global Warming Potentials
Direct Global Warming Potentials
Indirect Global Warming Potentials
Influence of Changes in Solar Output

7 Confidence in Model Predictions
8 Simulated Rates of Change in Climate and their
Geographical Distribution
Box - What tools do we use?
9 What Would We Now Estimate for Climate Change?
10 The Updated Record of Global Mcan Temperatures

11 Are There any Trends in Other Climatically
Important Quantities?

12 Are the Observed Temperature Changes Consistent
with Predicted Temperature Changes?

13 Key Uncertainties and Further Work Required.

Annex:
Progress in the Development of an IPCC Methodology for

oe

14

14
14
14
14
14
5

15
16

\7
"	List
