"Annexes
"	Title
"IIS ONAN

I
I
Il
IV
Vv
VI

Authors and Reviewers....
Glossary oo...

Acronyms and Abbreviations .

 
 
 
 
 

Major Chemical Formulae and Nomenclature.

 

List of Major IPCC Reports...
"	List
"Stephen Andersen, Lambert Kuijpers, and José Pons
for the Technology and Economic Assessment Panel
(TEAP), and
"	Text
"was organized*, which addressed the issue and forms important
background for the present effort, along with new information
on science, technology, and policy needs.
"	Text
"Susan Solomon, Ogunlade Davidson and Bert Metz (chair
of the Steering Committee)

for the Intergovernmental Panel on Climate Change
(IPCC).
"	Text
"We would also like to express our sincere thanks to the Steering
Committee for this Report, which consisted of co-chairs from
both the Technology and Economic Assessment Panel (TEAP)
and the Intergovernmental Panel on Climate Change (IPCC):
"	Text
"' Decision 12/CP.8, FCCC/CP/2002/7/Add.1, page 30. Eight Conference of the Parties to the UNFCCC, New Delhi, India, 23 October — 1 November 2002

? Decision XIV/10 UNEP/OzL.Pro.14/9, page 42. Fourteenth Meeting of the Parties to the Montreal Protocol, Rome, Italy, 25-29 November 2002

} Proceedings of the Joint IPCC/TEAP Expert Meeting on options for the limitation of emissions of HFCs and PFCs, Petten, The Netherlands, 26-28 May 1999,
see http://www. ipcc-wg3.org/docs/IPCC-TEAP99/index.html
"	Text
"As is usual in the IPCC, success in producing this report has
depended first and foremost on the enthusiasm and cooperation
of experts worldwide in many related but different disciplines.
We would like to express our gratitude to all the Coordinating
Lead Authors, Lead Authors, Contributing Authors, Review
Editors, and Expert Reviewers. These individuals have devoted
enormous time and effort to produce this report and we are
extremely grateful for their commitment to the IPCC process.
"	Text
"Discussions on these topics have a long history, including
deliberations at the Fourth Conference of the Parties to the
UNFCCC (held in 1998 in Buenos Aires) which invited Parties
and all other relevant entities to provide information to the
UNFCCC Secretariat on available and potential ways and
means of limiting emissions of hydrofluorocarbons (HFCs) and
perfluorocarbons (PFCs) when used as replacements for ozone
depleting substances. In 1999, an IPCC/TEAP Expert Meeting
"	Text
"After the decision of the Eighth Conference of the Parties to
the UNFCCC', the Fourteenth Meeting of the Parties to the
Montreal Protocol (Rome, Italy, 25-29 November 2002),
welcomed this decision, and requested the TEAP to work
with the IPCC in preparing the Special Report, and requested
simultaneous submission of the report to the Open Ended
Working Group under The Montreal Protocol and the UNFCCC
SBSTA. The scope, structure, and outline of the Special Report
were approved by the IPCC in plenary meetings during its
Twentieth Session in Paris, France, from 19-21 February 2003.
"	Text
"The Special Report on Safeguarding the Ozone Layer and the
Global Climate System was developed in response to invitations
by the United Nations Framework Convention on Climate
Change (UNFCCC)! and the Montreal Protocol on Substances
that Deplete the Ozone Layer’. IPCC and the Montreal Protocol’s
Technology and Economic Assessment Panel (TEAP) were
asked to work together to develop a balanced scientific, technical
and policy-relevant Special Report. The request covered both
a scientific assessment of the interrelations between the ozone
layer and climate change and development of user-friendly and
policy-neutral information to assist all Parties and stakeholders
in making informed decisions when evaluating alternatives to
ozone-depleting substances.
"	Text
"The Intergovernmental Panel on Climate Change (IPCC) was
jointly established by the World Meteorological Organization
(WMO) and the United Nations Environment Programme
(UNEP) in 1988 to assess available information on the
science, the impacts, and the economics of, and the options
for mitigating and/or adapting to, climate change. In addition,
the IPCC provides, on request, scientific, technical, and socio-
economic advice to the Conference of the Parties (COP) to the
United Nations Framework Convention on Climate Change
(UNFCCC). The IPCC has produced a series of Assessment
Reports, Special Reports, Technical Papers, methodologies, and
other products that have become standard works of reference
and that are widely used by policymakers, scientists, and other
experts.
"	Text
"Michel J arraud

 
"	Title
"We are convinced that this Special Report provides a balanced
scientific, technical and policy-related assessment that will assist
"	Text
"all concerned in taking decisions when considering alternatives
to ozone-depleting substances.
"	Text
"Background
"	Title
"Organization of the Report
"	Title
" 

NE OEE

Chapters | and 2 address linkages between ozone depletion
and climate change, and draw from previous international
scientific assessments, particularly the periodic assessments
conducted under the auspices of WMO, UNEP, and the IPCC
(e.g., the most recent Scientific Assessment of Ozone Depletion,
2002, the Assessment of the Environmental Impacts of Ozone
Depletion, 2002, and Climate Change: The Scientific Basis,
2001). Chapter 1 covers stratospheric chemistry and dynamics
"	Text
"The report provides the scientific context required for
consideration of choices among alternatives to ODSs (chapters
1 and 2); potential methodologies for assessing options (chapter
3); and technical issues relating to GHG emission reduction
opportunities for each of the sectors involved, including
refrigeration, air conditioning, foams, aerosols, fire protection
and solvents (chapters 4 to 10). The report also addresses the
future availability of HFCs (chapter 11).

 
"	Text
" 

of
The potential of each ODS substitute to influence the climate
system depends not only upon the physical and chemical
properties of the substance itself but also upon the factors that
influence emissions to the atmosphere, such as containment,
recycling, destruction and energy efficiency in particular
applications. Gases, applications and sectors considered in the
report are those related to emissions of CFCs, HCFCs, HFCs
and PFCs, as well as to alternatives for the use of HFCs and
PFCs. The report does not consider unrelated industrial or other
uses of the same chemicals The report covers chemicals and
technologies in use or likely to be used in the next decade.

 
"	Text
"This Special Report on Safeguarding the Ozone and the Global
Climate System has been developed in response to invitations
from Parties to the UNFCCC and the Montreal Protocol. It
provides information relevant to decision-making in regard to
safeguarding the ozone layer and the global climate system:
two global environmental issues involving complex scientific
and technical considerations. The scope, structure, and
outline of this Special Report were approved by the IPCC at
its Twentieth Session in Paris, France, 19-21 February 2003.
The responsibility for preparing the report was given jointly to
IPCC’s Working Groups I and III and the Montreal Protocol's
Technology and Economic Assessment Panel (TEAP). A joint
IPCC/TEAP Steering Committee (see below) was established to
manage preparation of the report following IPCC procedures.
"	Text
"SULT AS WALL VAS ICahiNe PIVUeCeuies.

The likelihood that CFCs and other ODSs also affect the
climate system was first identified in the 1970s, and the global
warming effectiveness of halocarbons, including HFCs, has been
further elucidated over the past three decades. For example, the
1989 Scientific Assessment of Stratospheric Ozone included a
chapter on halocarbon global warming potentials (GWPs) and
the 1989 Technology Assessment presented these GWPs in
discussions of the importance of energy efficiency in insulating
foam, refrigeration, and air conditioning. As various approaches
were developed to the phase-out of ODSs under the Montreal
Protocol, it was realized that some actions taken to reduce future
depletion of the ozone layer, in particular the introduction of
HFCs and PFCs, could increase or decrease global warming
impact.
"	Text
"Scientific evidence linking chlorofluorocarbons (CFCs) and
other Ozone Depleting Substances (ODSs) to global ozone
depletion led to the initial control of chemicals under the 1987
Montreal Protocol and to Amendments and Adjustments in
the 1990s that added additional ODSs, agreed phaseouts, and
accelerated those phaseouts. This international process has
resulted in (i) elimination of production of most CFCs, methyl
chloroform, and halons, (ii) the increased use of existing
hydrochlorofluorocarbons (HCFCs), (iii) the new production
of a wide range of industrial fluorine containing chemicals,
including new types of HCFCs, hydrofluorocarbons (HFCs) and
perfluorocarbons (PFCs), (iv) use of non-halogenated chemical
substitutes such as hydrocarbons, carbon dioxide and ammonia
and (v) the development of not-in-kind alternative methods
such as water-based cleaning procedures.

mm oad ad dah ARR 0 dh RRO. 1. pe at
"	Text
"This scientific and technical information allowed Parties to the
Montreal Protocol to choose options to replace ODSs, mindful
of the global warming impact and was reflected in some
investment decisions under the Montreal Protocol Multilateral
Fund. When the Kyoto Protocol was negotiated in 1997,
countries had new incentives to take account of how choices
among substitutes could affect the objectives of both protocols.
These considerations created a need for more comprehensive
information regarding options for ODS replacement that take
into account the need of safeguarding the ozone layer as well
as the global climate system. In May 1999, the IPCC and
TEAP held a joint expert meeting on options for the limitation
of Emissions of HFCs and PFCs and in October 1999 TEAP
published its report: “The implications to the Montreal Protocol
of the Inclusion of HFCs and PFCs in the Kyoto Protocol”. This
Special Report of 2005 is the latest cooperative effort.

ln a ee ye rr er, |
"	Text
"Acknowledgements
"	Title
"WEIN
We also thank Marco Gonzalez and Megumi Seki from

UNEP’s Ozone Secretariat, for their co-sponshorship, financial

support and commitment to the process that led to this report.
"	Text
"This review process, and its oversight by Review Editors who
are independent of the author teams, is an intrinsic part of any
IPCC assessment and is an important part of ensuring the quality
and credibility of the product.
"	Text
"IRN RIOR TRY MIR RIS PRUE

The final report was considered by a joint Session of IPCC
Working Groups I and III held in Addis Ababa from April 6""
to 8"", 2005, where the SPM was approved line-by-line and the
underlying report was accepted by the IPCC Panel.
"	Text
"SY UENARI SS SEU A GRIME BEL OMS ORUIES

We also thank Renate Christ, Secretary of the IPCC, and the
staff of the IPCC Secretariat, who provided logistical support
for government liaison and travel of experts from the developing
and transitional economy countries.
"	Text
"ee eT IIE II

Chapter 11 covers both supply and demand issues for HFCs,
and integrates emissions estimates across sectors and regions.
It aggregates the emissions information for various chemicals
from the various sectors, and considers the balance between
supply and demand of HFCs.

ee

   
"	Text
