"TERGOVERNMENTAL PANEL ON CLIMATE CHANGE

UNEP

     
  

IPCC SPECIAL
IODOLOGICAL AND TECHNOL
ISSUES IN TECHNOLOGY T
"	Figure
"A Special Report of IPCC Working Group III
"	Title
"Published for the Intergovernmental Panel on Climate Change
"	Title
"Summary for Policymakers
"	Title
"INTERGOVERNMENTAL PANEL ON CLIMATE CHANGE
"	Title
"Methodological and
Technological Issues in
Technology Transfer
"	Title
"John Turkson, Ghana
Lead Author, Chapters 4 and 5
"	Title
"His keen sense of duty earned him respect of colleagues he had worked with and helped him to build
a network of eminent energy specialists and economists not only from Ghana, but from all over Africa
and beyond. He was married to Gifty who no doubt had to bear the intensity with which John normally
took his work. He will be missed, but his contribution to IPCC will always be remembered by his
colleagues and friends.
"	Text
"Dr John Turkson died at the age of 46 years on a plane crash while he was en route to establish a CDM
Pilot project in Uganda. He was a Senior Energy Economist at the UNEP Collaborating Centre for
Energy and Environment at RIS@ National Laboratory in Denmark. Before joining RIS@, he was a
lecturer at the University of Science and Technology, Kumasi, Ghana. John was one of the few well-
known energy economists on the African continent who published extensively in international journals,
conference proceedings and books in the international fora on energy economics and climate change.
He initiated several regional projects in energy and climate change in Africa because of his belief that
the climate change debate provides an opportunity for transforming African economies to more sus-
tainable development paths.
"	Text
"Klaus Topfer

Executive Director

United Nations Environment Programme
and

Director-General

United Nations Office in Nairobi
"	List
"As usual in the IPCC, success in producing this Report has
depended first and foremost on the enthusiasm and cooperation
of scientists and other experts worldwide. These individuals have
devoted enormous time and effort to producing this report and we
are extremely grateful for their commitment to the IPCC process.
"	Text
"more likely to be successful. But there is no pre-set answer to
enhancing technology transfer. Interactions and barriers vary
according to sector, type of technology and country, and recent
trends in international financial flows that drive technology
transfer are altering the relative capacities and roles of different
stakeholders. Policy actions therefore need to be tailored to the
specific context and interests. The report elaborates on what
governments can do to facilitate and enhance the transfer of
Environmentally Sound Technologies, but it also aims at reach-
ing decision makers in the private sector, lending institutions,
multilateral agencies, non-governmental organizations, and the
interested public.
"	Text
"The Intergovernmental Panel on Climate Change (IPCC) was
jointly established by the World Meteorological Organization
(WMO) and the United Nations Environment Programme
(UNEP) to asses available information on the science, impacts
and the economics of climate change and of mitigation options
to address it. It provides also, on request, scientific/technical/
socio-economic advice to the Conference of the Parties (COP)
to the United Nations Framework Convention on Climate
Change (UNFCCC). Since its inception the IPCC has produced
a series of Assessment Reports, Special Reports, Technical
Papers, methodologies and other products which have become
standard works of reference, widely used by policymakers,
scientists and other experts.
"	Text
