C	REFERENCES
L	REFERENCES
I	REFERENCES
M	REFERENCES
A	REFERENCES
TE	REFERENCES
C	REFERENCES
HANG	REFERENCES
E	REFERENCES
2007	REFERENCES
–	REFERENCES
S	REFERENCES
YN	REFERENCES
T	REFERENCES
H	REFERENCES
E	REFERENCES
S	REFERENCES
I	REFERENCES
S	REFERENCES
R	REFERENCES
E	REFERENCES
P	REFERENCES
O	REFERENCES
R	REFERENCES
T	REFERENCES
T	REFERENCES
he	REFERENCES
Intergovernmental	REFERENCES
Panel	REFERENCES
on	REFERENCES
Climate	REFERENCES
Change	REFERENCES
(IPCC)	REFERENCES
was	REFERENCES
set	REFERENCES
up	REFERENCES
jointly	REFERENCES
by	REFERENCES
the	REFERENCES
World	REFERENCES
Meteorological	REFERENCES
Organization	REFERENCES
and	REFERENCES
the	REFERENCES
United	REFERENCES
Nations	REFERENCES
Environment	REFERENCES
Programme	REFERENCES
to	REFERENCES
provide	REFERENCES
an	REFERENCES
authoritative	REFERENCES
international	REFERENCES
statement	REFERENCES
of	REFERENCES
scientific	REFERENCES
understanding	REFERENCES
of	REFERENCES
climate	REFERENCES
change.	REFERENCES
The	REFERENCES
IPCC’s	REFERENCES
periodic	REFERENCES
assessments	REFERENCES
of	REFERENCES
the	REFERENCES
causes,	REFERENCES
impacts	REFERENCES
and	REFERENCES
possible	REFERENCES
response	REFERENCES
strategies	REFERENCES
to	REFERENCES
climate	REFERENCES
change	REFERENCES
are	REFERENCES
the	REFERENCES
most	REFERENCES
comprehensive	REFERENCES
and	REFERENCES
up-to-date	REFERENCES
reports	REFERENCES
available	REFERENCES
on	REFERENCES
the	REFERENCES
subject,	REFERENCES
and	REFERENCES
form	REFERENCES
the	REFERENCES
standard	REFERENCES
reference	REFERENCES
for	REFERENCES
all	REFERENCES
concerned	REFERENCES
with	REFERENCES
climate	REFERENCES
change	REFERENCES
in	REFERENCES
academia,	REFERENCES
government	REFERENCES
and	REFERENCES
industry	REFERENCES
worldwide.	REFERENCES
This	REFERENCES
Synthesis	REFERENCES
Report	REFERENCES
is	REFERENCES
the	REFERENCES
fourth	REFERENCES
element	REFERENCES
of	REFERENCES
the	REFERENCES
IPCC	REFERENCES
Fourth	REFERENCES
Assessment	REFERENCES
Report	REFERENCES
“Climate	REFERENCES
Change	REFERENCES
2007”.	REFERENCES
Through	REFERENCES
three	REFERENCES
working	REFERENCES
groups,	REFERENCES
many	REFERENCES
hundreds	REFERENCES
of	REFERENCES
international	REFERENCES
experts	REFERENCES
assess	REFERENCES
climate	REFERENCES
change	REFERENCES
in	REFERENCES
this	REFERENCES
Report.	REFERENCES
The	REFERENCES
three	REFERENCES
working	REFERENCES
group	REFERENCES
contributions	REFERENCES
are	REFERENCES
available	REFERENCES
from	REFERENCES
Cambridge	REFERENCES
University	REFERENCES
Press:	REFERENCES
Climate	REFERENCES
Change	REFERENCES
2007	REFERENCES
–	REFERENCES
The	REFERENCES
Physical	REFERENCES
Science	REFERENCES
Basis	REFERENCES
Contribution	REFERENCES
of	REFERENCES
Working	REFERENCES
Group	REFERENCES
I	REFERENCES
to	REFERENCES
the	REFERENCES
Fourth	REFERENCES
Assessment	REFERENCES
Report	REFERENCES
of	REFERENCES
the	REFERENCES
IPCC	REFERENCES
(ISBN	REFERENCES
978	REFERENCES
0521	REFERENCES
88009-1	REFERENCES
Hardback;	REFERENCES
978	REFERENCES
0521	REFERENCES
70596-7	REFERENCES
Paperback)	REFERENCES
Climate	REFERENCES
Change	REFERENCES
2007	REFERENCES
–	REFERENCES
Impacts,	REFERENCES
Adaptation	REFERENCES
and	REFERENCES
Vulnerability	REFERENCES
Contribution	REFERENCES
of	REFERENCES
Working	REFERENCES
Group	REFERENCES
II	REFERENCES
to	REFERENCES
the	REFERENCES
Fourth	REFERENCES
Assessment	REFERENCES
Report	REFERENCES
of	REFERENCES
the	REFERENCES
IPCC	REFERENCES
(978	REFERENCES
0521	REFERENCES
88010-7	REFERENCES
Hardback;	REFERENCES
978	REFERENCES
0521	REFERENCES
70597-4	REFERENCES
Paperback)	REFERENCES
Climate	REFERENCES
Change	REFERENCES
2007	REFERENCES
–	REFERENCES
Mitigation	REFERENCES
of	REFERENCES
Climate	REFERENCES
Change	REFERENCES
Contribution	REFERENCES
of	REFERENCES
Working	REFERENCES
Group	REFERENCES
III	REFERENCES
to	REFERENCES
the	REFERENCES
Fourth	REFERENCES
Assessment	REFERENCES
Report	REFERENCES
of	REFERENCES
the	REFERENCES
IPCC	REFERENCES
(978	REFERENCES
0521	REFERENCES
88011-4	REFERENCES
Hardback;	REFERENCES
978	REFERENCES
0521	REFERENCES
70598-1	REFERENCES
Paperback)	REFERENCES
Climate	REFERENCES
Change	REFERENCES
2007	REFERENCES
–	REFERENCES
Synthesis	REFERENCES
Report	REFERENCES
is	REFERENCES
based	REFERENCES
on	REFERENCES
the	REFERENCES
assessment	REFERENCES
carried	REFERENCES
out	REFERENCES
by	REFERENCES
the	REFERENCES
three	REFERENCES
Working	REFERENCES
Groups	REFERENCES
of	REFERENCES
the	REFERENCES
IPCC.	REFERENCES
It	REFERENCES
provides	REFERENCES
an	REFERENCES
integrated	REFERENCES
view	REFERENCES
of	REFERENCES
climate	REFERENCES
change	REFERENCES
and	REFERENCES
addresses	REFERENCES
the	REFERENCES
following	REFERENCES
topics:	REFERENCES
(cid:127)	REFERENCES
Observed	REFERENCES
changes	REFERENCES
in	REFERENCES
climate	REFERENCES
and	REFERENCES
their	REFERENCES
effects	REFERENCES
(cid:127)	REFERENCES
Causes	REFERENCES
of	REFERENCES
change	REFERENCES
(cid:127)	REFERENCES
Climate	REFERENCES
change	REFERENCES
and	REFERENCES
its	REFERENCES
impacts	REFERENCES
in	REFERENCES
the	REFERENCES
near	REFERENCES
and	REFERENCES
long	REFERENCES
term	REFERENCES
under	REFERENCES
different	REFERENCES
scenarios	REFERENCES
(cid:127)	REFERENCES
Adaptation	REFERENCES
and	REFERENCES
mitigation	REFERENCES
options	REFERENCES
and	REFERENCES
responses,	REFERENCES
and	REFERENCES
the	REFERENCES
interrelationship	REFERENCES
with	REFERENCES
sustainable	REFERENCES
development,	REFERENCES
at	REFERENCES
global	REFERENCES
and	REFERENCES
regional	REFERENCES
levels	REFERENCES
(cid:127)	REFERENCES
The	REFERENCES
long-term	REFERENCES
perspective:	REFERENCES
scientific	REFERENCES
and	REFERENCES
socio-economic	REFERENCES
aspects	REFERENCES
relevant	REFERENCES
to	REFERENCES
adaptation	REFERENCES
and	REFERENCES
mitigation,	REFERENCES
consistent	REFERENCES
with	REFERENCES
the	REFERENCES
objectives	REFERENCES
and	REFERENCES
provisions	REFERENCES
of	REFERENCES
the	REFERENCES
Convention,	REFERENCES
and	REFERENCES
in	REFERENCES
the	REFERENCES
context	REFERENCES
of	REFERENCES
sustainable	REFERENCES
development	REFERENCES
(cid:127)	REFERENCES
Robust	REFERENCES
findings,	REFERENCES
key	REFERENCES
uncertainties	REFERENCES
Climate	BIB_INFO
Change	BIB_INFO
2007	BIB_INFO
Synthesis	BIB_INFO
Report	BIB_INFO
Edited	BODY_CONTENT
by	BODY_CONTENT
The	ACKNOWLEDGMENT
Core	TITLE
Writing	TITLE
Team	TITLE
Rajendra	AUTHOR
K.	AUTHOR
Pachauri	AUTHOR
Andy	UNKNOWN
Reisinger	UNKNOWN
Synthesis	BODY_CONTENT
Report	BODY_CONTENT
Chairman	BODY_CONTENT
Head,	BODY_CONTENT
Technical	BODY_CONTENT
Support	BODY_CONTENT
Unit	BODY_CONTENT
IPCC	UNKNOWN
IPCC	UNKNOWN
Synthesis	UNKNOWN
Report,	UNKNOWN
IPCC	UNKNOWN
Core	BODY_CONTENT
Writing	BODY_CONTENT
Team	BODY_CONTENT
Lenny	AUTHOR
Bernstein,	AUTHOR
Peter	AUTHOR
Bosch,	AUTHOR
Osvaldo	AUTHOR
Canziani,	AUTHOR
Zhenlin	AUTHOR
Chen,	AUTHOR
Renate	AUTHOR
Christ,	AUTHOR
Ogunlade	AUTHOR
Davidson,	AUTHOR
William	AUTHOR
Hare,	AUTHOR
Saleemul	AUTHOR
Huq,	AUTHOR
David	AUTHOR
Karoly,	AUTHOR
Vladimir	AUTHOR
Kattsov,	AUTHOR
Zbigniew	AUTHOR
Kundzewicz,	AUTHOR
