Name	Working Group Combination	Working Group I	Working Group II	Working Group III	Year	AR	Kind of Report	PDF Name
Climate Change 2021: The Physical Science Basis	Working Group I	TRUE	FALSE	FALSE	2021	AR6	Working Group Report	IPCC_AR6_WGI_Full_Report
Climate Change 2022: Impacts, Adaptation and Vulnerability	Working Group II	FALSE	TRUE	FALSE	2022	AR6	Working Group Report	IPCC_AR6_WGII_Full_Report
Special Report on the Ocean and Cryosphere in a Changing Climate	Working Group I, Working Group II	TRUE	TRUE	FALSE	2019	AR6	Special Report	SROCC_FullReport_FINAL
Climate Change and Land	Working Group I, Working Group II, Working Group III	TRUE	TRUE	TRUE	2019	AR6	Special Report	210714-IPCCJ7230-SRCCL-Complete-BOOK-HRES
Global Warming of 1.5 ºC	Working Group I, Working Group II, Working Group III	TRUE	TRUE	TRUE	2018	AR6	Special Report	SR15_Full_Report_Low_Res
AR5 Synthesis Report: Climate Change 2014	Working Group I, Working Group II, Working Group III	TRUE	TRUE	TRUE	2014	AR5	Synthesis Report	SYR_AR5_FINAL_full
AR5 Climate Change 2014: Mitigation of Climate Change	Working Group III	FALSE	FALSE	TRUE	2014	AR5	Working Group Report	ipcc_wg3_ar5_full
AR5 Climate Change 2014: Impacts, Adaptation, and Vulnerability Part A	Working Group II	FALSE	TRUE	FALSE	2014	AR5	Working Group Report	WGIIAR5-PartA_FINAL
AR5 Climate Change 2014: Impacts, Adaptation, and Vulnerability Part B	Working Group II	FALSE	TRUE	FALSE	2014	AR5	Working Group Report	WGIIAR5-PartB_FINAL
Climate Change 2013: The Physical Science Basis	Working Group I	TRUE	FALSE	FALSE	2013	AR5	Working Group Report	WG1AR5_all_final
Managing the Risks of Extreme Events and Disasters to Advance Climate Change Adaptation	Working Group I, Working Group II	TRUE	TRUE	FALSE	2012	AR5	Special Report	SREX_Full_Report-1
Renewable Energy Sources and Climate Change Mitigation	Working Group III	FALSE	FALSE	TRUE	2012	AR5	Special Report	SRREN_Full_Report-1
AR4 Climate Change 2007: Synthesis Report	Working Group I, Working Group II, Working Group III	TRUE	TRUE	TRUE	2007	AR4	Synthesis Report	ar4_syr_full_report
AR4 Climate Change 2007: Impacts, Adaptation, and Vulnerability	Working Group II	FALSE	TRUE	FALSE	2007	AR4	Working Group Report	ar4_wg2_full_report
AR4 Climate Change 2007: The Physical Science Basis	Working Group I	TRUE	FALSE	FALSE	2007	AR4	Working Group Report	ar4_wg1_full_report-1
